glottocode,name,isocodes,level,macroarea,latitude,longitude
aghu1254,Aghu Tharnggalu,ggr,language,Australia,-13.735,142.426
aghu1256,Aghu Tharnggalu (Retired),gtu,language,Australia,,
aghw1237,Aghwan,xag,language,Eurasia,40.374444,47.126667
agii1245,Agi,aif,language,Papunesia,-3.49104,142.387
agii1244,Agi (Moru),,dialect,Africa,,
agob1245,Agöb,,dialect,Papunesia,,
agob1244,Agob-Ende-Kawam,kit,language,Papunesia,-9.08521,142.532
agoi1246,Agoi,ibm,language,Africa,5.87953,8.21629
agoi1244,Agoi (Gen),,dialect,Africa,,
agon1238,Agona,,dialect,Africa,,
agra1238,Agrab,,dialect,Africa,,
agta1234,Agta-Pahanan,apf,language,Papunesia,,
aguu1241,Agu,,dialect,Eurasia,,
agua1252,Aguacateco,agu,language,North America,15.3307,-91.3153
agua1251,Aguano,aga,language,South America,-5.25,-75.8333
agua1254,Aguarico,,dialect,South America,,
agua1253,Aguaruna,agr,language,South America,-5.30044,-77.9218
aguu1242,Agu (Ewe),,dialect,Africa,,
aguf1237,Agufi,,dialect,Papunesia,,
agul1244,Agul,,dialect,Eurasia,,
agul1243,Agulis,,dialect,Eurasia,,
agun1238,Aguna,aug,language,Africa,7.49256,1.74452
aguo1238,Aguok,,dialect,Africa,,
agus1235,Agusan Manobo,msm,language,Papunesia,8.62731,125.742
agut1237,Agutaynen,agn,language,Papunesia,10.5328,119.655
agwa1247,Agwagwune,yay,language,Africa,5.81055,8.03166
agwa1246,Agwatashi,,dialect,Africa,,
ahaf1238,Ahafo,,dialect,Africa,,
ahan1244,Àhàn,ahn,language,Africa,7.44139,6.00896
ahan1243,Ahanta,aha,language,Africa,4.85147,-1.94657
ahea1240,Ahe,ahe,language,,,
ahea1235,Aheave,,dialect,Papunesia,,
ahei1238,Aheima,,dialect,Africa,,
aher1237,Aheri,,dialect,Eurasia,,
ahin1234,Ahin-Kayapa Kalanguya,kak,language,Papunesia,16.321,120.90003
ahir1243,Ahirani,ahr,language,Eurasia,21.552,73.685
ahir1242,Ahiri,,dialect,Eurasia,,
ahom1240,Ahom,aho,language,Eurasia,27.2778,88.464
ahte1237,Ahtena,aht,language,North America,61.7068,-144.889
ahua1238,Ahuatempan Popoloca,,dialect,South America,,
ahwa1239,Ahwaz,,dialect,Eurasia,,
aial1237,Ai'alu,,dialect,Papunesia,,
aibo1237,Aibondeni,,dialect,Papunesia,,
aich1238,Ai-Cham,aih,language,Eurasia,25.4908,107.844
aiew1238,Aiewomba,,dialect,Papunesia,,
aigh1235,Aighon,aix,language,Papunesia,-5.99488,150.272
aigo1239,Aigon,,dialect,Papunesia,,
aika1237,Aikanã,tba,language,South America,-12.6695,-60.5353
aikl1237,Aiklep,mwg,language,Papunesia,-6.23575,149.571
aiko1237,Aikoa,,dialect,Papunesia,,
aiku1240,Aiku,mzf,language,,,
aima1241,Aimaq,aiq,language,Eurasia,35.283,59.1756
aima1242,Aimara,,dialect,Africa,,
aime1238,Aimele,ail,language,Papunesia,-6.68656,142.656
aimo1244,Aimol,aim,language,Eurasia,24.6437,94.3556
aimo1245,Aimoli,,dialect,Papunesia,,
ainb1238,Ainbai,aic,language,Papunesia,-3.09214,141.149
aine1237,Aine Kuruba,,dialect,Eurasia,,
ainu1251,Ainu (China),aib,language,Eurasia,39.2714,76.4209
aiom1240,Aiome,aki,language,Papunesia,-5.13467,144.765
airr1238,Air,,dialect,Africa,,
airr1242,Air (Berber),,dialect,Africa,,
aird1238,Aird Hills,,dialect,Papunesia,,
airm1241,Airmadidi,,dialect,Papunesia,,
airm1240,Air Mata,,dialect,Papunesia,,
airo1242,Airoran,air,language,Papunesia,-1.8522,138.158
airy1239,Airym,,dialect,Eurasia,,
musa1266,Aisi,mmq,language,Papunesia,-5.37407,145.197
aita1238,Aita,,dialect,Papunesia,,
aito1238,Aiton,aio,language,Eurasia,26.5145,92.3169
aitu1237,Aitutaki,,dialect,Papunesia,,
aiwa1238,Aiwanat,,dialect,North America,,
aiya1239,Aiyangar,,dialect,Eurasia,,
aiya1240,Aiyar,,dialect,Eurasia,,
aiye1242,||'Aiye,,dialect,Africa,,
aiye1241,Aiyegunle,,dialect,Africa,,
aizu1241,Aizu,,dialect,Papunesia,,
aizu1242,Aizuare,,dialect,South America,,
ajab1235,Aja (Benin),ajg,language,Africa,7.06634,1.64992
ajam1240,Ajam,,dialect,Papunesia,,
ajas1235,Aja (Sudan),aja,language,Africa,8.58003,25.6122
ajaw1236,Ajawa,ajw,language,Africa,10.21,9.89205
ajee1238,Aje,,dialect,Africa,,
ajie1238,Ajië,aji,language,Papunesia,-21.3029,165.468
ajir1238,Ajiri of Hazara,,dialect,Eurasia,,
ajiw1238,Ajiw,,dialect,Papunesia,,
ajra1238,Ajra,,dialect,Africa,,
ajug1238,Ajugu,,dialect,Africa,,
ajuh1237,Ajuh,,dialect,Papunesia,,
ajum1239,Ajumba,,dialect,Africa,,
mbuu1238,Ajumbu,muc,language,Africa,6.53792,10.2556
ajyi1238,Ajyíninka Apurucayali,cpc,language,South America,-9.82364,-74.61947
akkk1240,Ak,akq,language,Papunesia,-3.57026,141.784
akaa1242,Aka,soh,language,Africa,11.2101,33.6524
akab1250,Akabafa,,dialect,Papunesia,,
akab1249,Aka-Bea,abj,language,Eurasia,12.3782,92.7818
akab1248,Aka-Bo,akm,language,Eurasia,12.3629,92.8011
akac1240,Aka-Cari,aci,language,Eurasia,13.49086,92.94855
akaj1239,Aka-Jeru,akj,language,Eurasia,13.1525,92.9504
akak1252,Aka-Kede,akx,language,Eurasia,12.8494,92.8227
akak1253,Aka-Kol,aky,language,Eurasia,12.73253,92.78661
akak1251,Aka-Kora,ack,language,Eurasia,12.0944,92.7466
akal1238,Aka Lel,,dialect,Eurasia,,
akam1238,Akamkpa-Ejagham,,dialect,Africa,,
akan1250,Akan,aka,language,Africa,6.34756,-1.33254
akan1248,Akani,,dialect,Eurasia,,
akar1243,Akar-Bale,acl,language,Papunesia,12.6663,92.8278
akar1244,Akarre,,dialect,Australia,,
akas1242,Akaselem,aks,language,Africa,8.8858,1.37035
akas1241,Akassa,,dialect,Africa,,
west2635,Akateko,knj,language,North America,15.5932,-91.8421
akaw1239,Akawaio,ake,language,South America,6.16277,-60.862
akee1238,Ake,aik,language,Africa,8.59543,8.75768
akeb1238,Akebu,keu,language,Africa,7.78365,0.77668
akei1237,Akei,tsr,language,Papunesia,-15.6377,166.767
aker1238,Akerre,,dialect,Australia,,
akeu1235,Akeu,aeu,language,Eurasia,,
akha1245,Akha,ahk,language,Eurasia,21.2309,100.964
akhm1237,Akhmimic,,dialect,Africa,,
akho1238,Akhoe,,dialect,Africa,,
akht1238,Akhty,,dialect,Eurasia,,
akhv1239,Akhvakh,akv,language,Eurasia,42.4003,46.3037
akii1238,Aki,,dialect,Papunesia,,
mosi1247,Akie,mwy,language,Africa,-5.43471,37.1869
akim1239,Akimel O'odham,,dialect,North America,,
akit1239,Akit,,dialect,Papunesia,,
akit1240,Akita,,dialect,Papunesia,,
akka1240,Akkadian,akk,language,Eurasia,,
akka1237,Akkala Sami,sia,language,Eurasia,67.8625,32.4046
akla1241,Aklanon,akl,language,Papunesia,11.5543,122.354
aknn1239,Akn,,dialect,Eurasia,,
akoo1247,Ako,,dialect,Eurasia,,
akoo1249,Ako (Atlantic-Congo),,dialect,Africa,,
akoo1250,Ako (Indonesia),,dialect,Papunesia,,
akol1237,Akolet,akt,language,Papunesia,-6.22711,150.182
akon1238,Akono,,dialect,Africa,,
akoo1248,Akoose,bss,language,Africa,4.9243,9.65522
akoy1238,Akoye,miw,language,Papunesia,-7.66067,145.669
akpa1238,Akpa,akf,language,Africa,7.32586,8.01629
akpa1243,Akpafu,,dialect,Africa,,
akpe1247,Akpe,,dialect,Africa,,
akpe1248,Akpes,ibe,language,Africa,7.50256,5.95559
akpo1242,Akpo-Mgbu-Tolu,,dialect,Africa,,
akpo1243,Akpondu,,language,Africa,9.235232,8.545454
akre1239,Akre,,dialect,Eurasia,,
aksa1237,Aksanás,,dialect,,,
aksu1238,Aksu,,dialect,Eurasia,,
akto1238,Akto Türkmen,,dialect,Eurasia,,
akua1239,Akuapem,,dialect,Africa,,
akuk1235,Akuku,ayk,language,Africa,7.40354,6.34264
akum1238,Akum,aku,language,Africa,6.85716,9.96261
akun1239,Akunnu,,dialect,Africa,,
akun1241,Akuntsu,aqz,language,South America,-12.8322,-60.9716
akur1238,Akurio,ako,language,South America,3.19607,-55.6294
akus1238,Akusha,,dialect,Eurasia,,
akwa1248,Akwa,akw,language,Africa,-0.39897,15.4623
akwa1247,Akwa (Nigeria),,dialect,Africa,,
akye1239,Akyem Bosome,,dialect,Africa,,
alab1254,Alaba-K'abeena,alw,language,Africa,7.39014,38.1732
alab1237,Alabama,akz,language,North America,30.76738,-94.62848
alab1246,Alabat Island Agta,dul,language,Papunesia,14.1217,122.014
alac1239,Alacalufe-Austral,,language,South America,-54.788017,-70.140381
alac1240,Alacalufe-Central,,language,South America,-53.435719,-71.04126
alac1244,Alacatlatzala Mixtec,mim,language,North America,17.4944,-98.4674
alad1239,Alada,,dialect,Africa,,
alag1243,Alag-Bako,,dialect,Papunesia,,
alag1242,Alago,ala,language,Africa,8.34986,8.52085
alag1249,Alaguilac,,language,North America,,
alag1248,Alagwa,wbj,language,Africa,-4.64148,35.7231
alak1253,Alak,alk,language,Eurasia,15.5565,106.597
alak1254,Alakaman,,dialect,Papunesia,,
alak1252,Alakong,,dialect,Eurasia,,
alam1246,Alamblak,amp,language,Papunesia,-4.66307,143.316
alan1247,Åland Islands Swedish,,dialect,Eurasia,,
alan1249,Alangan,alj,language,Papunesia,13.0982,121.022
alan1250,Alango,,dialect,Papunesia,,
alan1248,Alangua,,dialect,Africa,,
alap1235,Alapmunte,apv,language,South America,-12.329886,-59.996702
alar1239,Alar,,dialect,Eurasia,,
alas1254,Alas,,dialect,Papunesia,,
alas1253,Alasai,,dialect,Eurasia,,
alat1245,Alatening,,dialect,Africa,,
alat1246,Alatesu,,dialect,South America,,
aval1237,Alavan,,dialect,Eurasia,,
alaw1244,Alawa,alh,language,Australia,-15.5458,134.282
alba1271,Albanian Sign Language,sqk,language,Eurasia,,
alba1270,Albany River Ojibwa,,dialect,North America,,
alca1237,Alcantaranon,,dialect,Papunesia,,
alco1235,Alcozauca Mixtec,xta,language,North America,17.3687,-98.3969
wail1242,Ale,wlr,language,Papunesia,-15.5656,166.902
alec1238,Alechuxa,,dialect,Eurasia,,
aleg1238,Alege,alf,language,Africa,6.59423,9.00394
alek1238,Alekano,gah,language,Papunesia,-6.03901,145.387
alep1237,Alepa,,dialect,Papunesia,,
alep1241,Aleppo,,dialect,Eurasia,,
aleu1260,Aleut,ale,language,North America,52.1228,-174.29
